"min_t4","bike"
"27.572","RC16"
"27.591","Ducati GP24"
"27.617","Ducati GP23"
"27.623","Aprilia GP24"
"27.751","YZR-M1"
"27.795","RC213V"
"27.908","Aprilia GP23"
