"min_t1","bike"
"27.656","Ducati GP24"
"27.724","Aprilia GP24"
"27.739","RC16"
"27.739","Ducati GP23"
"27.885","RC213V"
"27.895","YZR-M1"
"27.928","Aprilia GP23"
