"min_t2","bike"
"30.094","Ducati GP23"
"30.181","Ducati GP24"
"30.217","RC16"
"30.249","Aprilia GP24"
"30.355","YZR-M1"
"30.373","RC213V"
"30.425","Aprilia GP23"
